"","Prix_Vente","Année_Construction","Année_Vente","Mois_Vente","Surface","Niveau_Etage","TCouloir","TChauffage","TGestion","Nb_Parking_Surface","Nb_Parking_Sous_Sol","Temps_Bus","Nb_Appartment_Batiment","Nb_Gestionnaire","Nb_Ascenseurs","Station_Metro","Nb_Bureau_Publics","Nb_Hopitaux","Nb_Grands_Magasins","N_FacilitiesNearBy.Mall.","Nb_AUtres_Proximité","Nb_Parcs","Nb_Ecoles_Primaires","Nb_Ecoles_Colléges","Nb_Ecoles_Lycée","Nb_Ecoles_Universités","Nb_Installations","Nb_Total_Proximité","Nb_Total_Ecoles"
"12",39823,1992,2007,10,355,5,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"13",36283,1992,2007,10,355,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"14",35398,1992,2007,10,355,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"15",55752,1985,2007,11,587,9,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"16",36283,1992,2007,11,355,4,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"17",60176,1992,2007,11,576,14,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"18",81858,1992,2007,11,644,16,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"19",60176,1992,2007,11,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"20",82300,1993,2007,12,644,8,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"21",72566,1985,2008,1,676,6,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"22",44247,1986,2008,1,508,1,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"23",52212,1986,2008,1,547,4,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"24",38761,1992,2008,1,355,3,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"25",39823,1992,2008,1,355,12,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"26",80530,1993,2008,1,644,2,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"27",61946,1985,2008,2,587,8,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"28",79646,1993,2008,2,644,4,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"29",64601,1992,2008,2,576,10,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"30",66371,1992,2008,2,640,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"31",35398,1992,2008,2,355,15,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"32",59734,1985,2008,3,587,9,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"33",60176,1985,2008,3,587,5,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"34",51327,1986,2008,3,508,2,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"35",37787,1992,2008,3,355,15,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"36",70796,1992,2008,3,644,4,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"37",37168,1992,2008,3,355,14,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"38",80530,1992,2008,3,644,15,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"39",70796,1985,2008,4,676,8,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"40",57522,1985,2008,4,587,7,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"41",38938,1992,2008,4,355,13,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"42",66371,1985,2008,5,587,6,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"43",72123,1985,2008,5,676,9,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"44",44690,1985,2008,5,498,7,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"45",53097,1986,2008,5,451,13,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"46",53982,1986,2008,5,451,9,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"47",65929,1992,2008,5,576,7,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"48",69911,1997,2008,6,558,12,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"49",55752,1985,2008,6,587,9,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"50",38053,1992,2008,6,355,5,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"51",38584,1992,2008,6,355,9,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"52",61946,1992,2008,7,576,12,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"53",65486,1992,2008,7,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"54",80530,1993,2008,7,644,1,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"55",48672,1992,2008,7,576,3,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"56",75221,1993,2008,8,644,21,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"57",79646,1992,2008,8,644,10,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"58",63716,1992,2008,8,576,7,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"59",37610,1992,2008,8,355,10,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"60",36283,1992,2008,8,355,13,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"61",73451,1997,2008,9,644,4,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"62",70796,1997,2008,9,558,13,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"63",61504,1992,2008,9,576,2,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"64",46017,1992,2008,9,355,9,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"65",77876,1993,2008,9,644,1,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"66",58407,1997,2008,10,430,8,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"67",59115,1985,2008,10,587,10,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"68",47787,1986,2008,11,508,2,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"69",34955,1992,2008,11,355,12,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"70",75221,1993,2008,11,644,9,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"71",74778,1997,2008,12,644,13,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"72",66814,1997,2008,12,558,11,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"73",53097,1985,2008,12,587,4,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"74",34070,1992,2008,12,355,2,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"75",66371,1992,2008,12,640,9,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"76",79646,1993,2009,1,644,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"77",79646,1993,2009,1,644,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"78",70796,1992,2009,2,644,2,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"79",51327,1992,2009,2,576,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"80",58407,1997,2009,3,644,12,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"81",64601,1997,2009,3,558,13,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"82",55752,1985,2009,3,587,4,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"83",37168,1992,2009,3,355,7,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"84",77876,1993,2009,3,644,6,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"85",53097,1992,2009,3,644,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"86",75221,1993,2009,3,644,9,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"87",36283,1992,2009,3,355,10,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"88",37168,1992,2009,4,355,13,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"89",67256,1992,2009,4,576,14,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"90",76548,1993,2009,4,644,5,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"91",61946,1985,2009,5,587,9,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"92",34513,1992,2009,5,355,4,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"93",56637,1992,2009,5,576,9,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"94",57522,1992,2009,6,576,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"95",78318,1992,2009,6,644,16,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"96",37168,1992,2009,6,355,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"97",79646,1993,2009,6,644,5,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"98",79646,1992,2009,6,644,9,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"99",78761,1993,2009,7,644,3,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"100",75221,1993,2009,8,644,16,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"101",36283,1992,2009,8,355,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"102",64159,1992,2009,8,576,3,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"103",75221,1993,2009,8,644,1,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"104",57964,1985,2009,9,587,6,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"105",55752,1985,2009,9,587,9,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"106",58407,1992,2009,9,576,14,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"107",63716,1992,2009,9,640,4,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"108",77876,1993,2009,9,644,2,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"109",64601,1992,2009,9,640,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"110",39380,1992,2009,10,355,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"111",63716,1992,2009,10,644,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"112",61946,1992,2009,10,640,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"113",82300,1993,2009,10,644,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"114",63716,1992,2009,10,576,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"115",62831,1992,2009,10,576,14,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"116",35840,1992,2009,10,355,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"117",68141,1997,2009,11,558,9,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"118",78761,1993,2009,11,644,8,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"119",53097,1992,2009,11,576,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"120",76991,1997,2009,12,644,8,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"121",75221,1997,2009,12,644,14,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"122",79646,1993,2009,12,644,8,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"123",57079,1992,2009,12,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"124",61946,1992,2009,12,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"125",38053,1992,2009,12,355,10,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"126",61946,1992,2009,12,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"127",66371,1985,2010,1,587,6,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"128",55752,1992,2010,1,576,5,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"129",38938,1992,2010,1,355,10,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"130",34513,1992,2010,1,355,2,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"131",61061,1992,2010,1,640,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"132",68141,1992,2010,1,640,10,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"133",64601,1997,2010,2,558,4,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"134",78318,1997,2010,2,644,10,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"135",38053,1992,2010,2,355,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"136",39823,1992,2010,2,355,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"137",82300,1992,2010,2,644,18,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"138",65486,1997,2010,3,558,5,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"139",61946,1997,2010,3,558,7,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"140",46902,1986,2010,3,451,5,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"141",56637,1986,2010,3,508,7,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"142",53097,1992,2010,3,576,12,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"143",65044,1992,2010,3,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"144",66371,1992,2010,3,640,15,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"145",63716,1992,2010,3,640,2,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"146",77876,1992,2010,3,644,4,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"147",79646,1992,2010,3,644,14,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"148",55309,1985,2010,4,587,5,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"149",38938,1992,2010,4,355,2,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"150",62831,1992,2010,4,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"151",82035,1992,2010,4,644,18,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"152",38938,1992,2010,4,355,7,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"153",53097,1985,2010,5,587,4,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"154",56637,1986,2010,5,508,6,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"155",52477,1986,2010,5,508,3,"corridor","individual_heating","management_in_trust",100,18,"0~5min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
